type,id,amount,oldbalanceOrig,newbalanceOrig,oldbalanceRec,newbalanceRec,Country,senders_name,ReceiversBank,SendersBank,receiver_name,TransactionDates,isFraud
cash_out,c459668e-c5e1-4ccc-8bcd-17a31adb9a9f,7618.7,46697.62,39078.92,36863.95,44482.65,Singapore,Jacob Day,Wells Fargo,Barclays,Kayla Hunt,2025-03-24,False
transfer,50e9636e-197d-48b1-961b-14dd45f11959,7445.64,30918.39,23472.75,69866.91,77312.55,India,Leroy Nunez,Kotak Mahindra Bank,Standard Chartered,Madeline Simpson,2022-11-24,False
transfer,b204a3f1-5c14-4e70-ad3e-7a7e6e526f8d,10759.08,10978.14,219.06,37530.23,48289.31,UK,Vanessa Cruz,Deutsche Bank,ICICI Bank,Debra Frazier,2024-02-10,False
transfer,cfd3fefd-bc13-4586-b0b1-f02bd6262706,13151.27,71653.88,58502.61,1276.63,14427.9,India,Kurt Davis,Wells Fargo,Standard Chartered,Curtis Jacobson,2023-06-21,False
debit,517eaaa6-406e-42c6-8e0b-38abc5c68438,34285.64,116250.41,81964.77,89773.93,124059.57,UK,Jennifer Duncan,HDFC Bank,Standard Chartered,Brent Clark,2022-09-05,False
debit,d8597f2a-b46f-4f85-a50f-d3ef00e45ad8,19534.72,79054.36,59519.64,48621.55,68156.27,India,Stephanie Thompson,Kotak Mahindra Bank,HSBC,Dr. Daniel Thompson,2021-09-06,False
cash_out,392050ba-fc09-4e06-b242-2ab7d4448baf,37109.71,45301.57,8191.86,8106.38,45216.09,USA,Donald Davis,DBS Bank,ICICI Bank,Kimberly Harrington,2020-10-29,False
debit,989ccb89-cec8-429d-855c-f393bf87c6ed,41602.36,121399.51,79797.15,41547.61,83149.97,Singapore,Kayla Ramos,Kotak Mahindra Bank,DBS Bank,Brian Vasquez,2023-11-26,False
debit,4c53b31f-ddf1-4860-b425-62b45ee10ab2,21288.07,52734.45,31446.38,91469.63,112757.7,France,Michelle Proctor,Deutsche Bank,State Bank of India,Linda Carroll,2024-03-12,False
cash_out,6aa57f33-d2bf-4099-bfad-d0bc2865c565,47768.52,112121.4,64352.88,13766.68,61535.2,Germany,Melinda Mayo,State Bank of India,DBS Bank,Shelly Murphy,2024-09-26,False
debit,b562195d-dc77-4e63-89bc-4074b884fef1,18177.01,86803.8,68626.79,78619.59,96796.6,Germany,Danielle Black,DBS Bank,Chase Bank,Sharon Watkins,2021-12-23,False
debit,22386625-a3a3-4db8-8f15-515995faa1ad,29993.92,107403.81,77409.89,41355.82,71349.74,UK,Amy Sims,ICICI Bank,Chase Bank,Brian Blankenship,2021-05-06,False
transfer,e5ff67bd-c019-4eea-8d78-3955cbd63b76,468.97,92964.89,92495.92,18636.11,19105.08,Germany,Marcus Mcdonald,DBS Bank,Deutsche Bank,Justin Ayala,2023-09-18,False
cash_out,8574fe6d-6662-4715-990a-74f178652552,27190.81,107310.42,80119.61,6727.16,33917.97,Singapore,Erik Robinson,Kotak Mahindra Bank,Barclays,Alexa Ingram,2020-11-26,False
cash_out,46c9c6d9-ba84-4347-9c88-f03227195915,40635.82,62541.51,21905.69,55131.87,95767.69,Singapore,Lindsay Lopez,Chase Bank,Deutsche Bank,Darlene Rodriguez,2024-02-02,False
debit,47730b74-06a2-481a-88e0-bf747eaed702,25953.57,39490.21,13536.64,61028.73,86982.3,Canada,Sandra Bell,Chase Bank,HSBC,David Mitchell,2021-10-03,False
transfer,c178a56e-7d27-4883-b35b-cefedc475063,24419.72,56763.59,32343.87,45576.82,69996.54,Singapore,Mary Hernandez,ICICI Bank,Kotak Mahindra Bank,Denise Robinson,2025-03-28,False
cash_out,3ba99910-45bf-4a99-8944-19f6b98b4261,47517.7,110385.55,62867.85,17195.19,64712.89,India,Julie Owens,Bank of America,Deutsche Bank,Darren Preston,2024-01-28,False
cash_out,6838eda0-b4c4-4277-bb66-071432b88094,25711.91,51527.28,25815.37,4717.06,30428.97,France,Jason Tran,ICICI Bank,Barclays,Seth Bauer,2024-02-17,False
transfer,bc0ec8ee-90f6-40df-a3ea-b428e2a33205,2087.13,54192.95,52105.82,69768.17,71855.3,Canada,Tiffany Novak,Barclays,HSBC,Melanie Brady,2023-09-22,False
debit,b75154c8-7133-4157-ac1b-1dcbc7109dce,22163.59,32999.26,10835.67,26825.61,48989.2,UK,Troy Brown,Kotak Mahindra Bank,Bank of America,Sarah Bryant,2020-07-01,False
transfer,c1e48a84-0a3c-40ae-b8d2-4488036e4e10,9342.5,53206.35,43863.85,55275.74,64618.24,Canada,Anthony Scott,UBS,Chase Bank,Amy Mclaughlin,2020-07-17,False
transfer,bc64b4c1-e0eb-4ef0-9f96-53e84f9f9da2,3113.74,39153.97,36040.23,37292.53,40406.27,UK,Joseph Brewer,Wells Fargo,UBS,Christopher Warner,2022-05-05,False
transfer,ab16f828-10ca-4cf6-adce-c95b275735d3,14545.6,29185.84,14640.24,82766.63,97312.23,France,David Smith,Bank of America,HDFC Bank,Jacqueline Young,2022-01-12,False
cash_out,a4dcf851-b6f6-4943-9ebe-ae4b90d7c577,36332.8,42031.36,5698.56,8365.99,44698.79,Singapore,Yvonne Avila,Barclays,Chase Bank,Stephanie Graham,2020-11-21,False
transfer,22d6f0a2-a41f-4d38-8a80-3df87182fcf2,13136.5,83213.99,70077.49,48491.85,61628.35,Singapore,Nancy Chavez,HDFC Bank,Wells Fargo,Margaret White,2020-09-08,False
cash_out,75a573ff-46b5-4953-b0f8-c81042725442,20132.28,51227.82,31095.54,74397.42,94529.7,France,Jane Smith,HDFC Bank,Barclays,Amy Woods,2023-01-02,False
transfer,ab14d59d-79db-4e37-964e-e0e50e3e7d75,8843.72,40606.24,31762.52,26792.84,35636.56,France,Alexander Charles,DBS Bank,Chase Bank,Maria Perez,2021-12-15,False
cash_out,d51a4348-3992-4aa7-8820-a164135541c1,30568.95,74368.01,43799.06,21694.71,52263.66,USA,Joseph James,Barclays,UBS,Amanda Johnson,2023-03-24,False
debit,8111aef9-b98c-4770-a83e-52c11cc654ee,18598.26,64735.76,46137.5,24753.68,43351.94,Canada,Miranda Cox,State Bank of India,UBS,Joshua Clayton,2021-11-01,False
debit,d9b04539-4549-4916-91f6-800b6e1ffad0,15766.77,50234.42,34467.65,45148.46,60915.23,India,Carolyn Roberts,HDFC Bank,State Bank of India,Veronica Moore,2023-03-22,False
transfer,513d7393-e51f-42f1-8f43-fab9024f55a1,43142.01,62610.18,19468.17,40118.69,83260.7,India,Susan Mcdonald MD,Bank of America,Chase Bank,Jeremy Price,2024-12-16,False
debit,9ad4f638-5024-4196-b4c4-9480d5902de2,49189.39,81029.69,31840.3,91290.62,140480.01,USA,Leah Mcgrath,Chase Bank,Kotak Mahindra Bank,Steven Salinas,2024-05-09,False
transfer,c6e839bc-de8e-40d8-88ef-d21c36bb8e73,13282.61,45416.02,32133.41,49944.65,63227.26,Canada,Alejandra Evans,Wells Fargo,ICICI Bank,Amanda Smith,2022-02-12,False
cash_out,7f0fe046-6785-469c-9607-43bc9739ab56,9697.89,16836.53,7138.64,83995.37,93693.26,UK,Melissa Lopez,State Bank of India,Deutsche Bank,Tyrone Wilson,2024-08-08,False
cash_out,f990f46f-2eeb-431c-9fab-5713e69728df,998.44,22531.35,21532.91,44878.27,45876.71,India,David Moore,HDFC Bank,State Bank of India,Shelby Porter,2023-08-08,False
transfer,6be39590-d540-4616-9984-aca1495650ae,2725.32,75430.75,72705.43,93857.19,96582.51,Canada,Lauren Bryant,HDFC Bank,Chase Bank,Michael Chapman,2021-08-03,False
transfer,1bfbd830-9cb9-4eeb-af02-b783f9f344ad,31123.63,125823.82,94700.19,72153.31,103276.94,Canada,Brendan Murphy,State Bank of India,Barclays,Jennifer Wilson,2021-10-20,False
cash_out,e3f971de-ecef-4af8-b745-02d644a32bc5,25865.93,75113.17,49247.24,71493.33,97359.26,UK,Ashley Mclaughlin,Wells Fargo,DBS Bank,John Carroll,2021-02-15,False
transfer,baaeebf8-9a24-4525-abbe-2bd65a1341e7,30230.69,121243.84,91013.15,73896.72,104127.41,Canada,Michelle Mcdowell,Chase Bank,HSBC,Melissa Hunter,2021-04-23,False
cash_out,c6063268-3e52-4c3b-9aa5-b205eb5a2a5f,44240.74,129699.84,85459.1,56988.04,101228.78,Canada,Amanda Martinez,Deutsche Bank,UBS,John Freeman,2022-09-30,False
debit,a96a7846-e2e8-404b-a86a-07ff7569726a,28427.54,93880.75,65453.21,40184.1,68611.64,Germany,Alicia Yates,Bank of America,Barclays,Stephen Harris,2022-10-28,False
debit,ac2125bd-9d08-4063-b9a5-442f3818ec5f,16384.95,33675.18,17290.23,65082.27,81467.22,France,Dr. Ashley Jordan,ICICI Bank,Kotak Mahindra Bank,Scott Mullen,2023-07-18,False
cash_out,2b8ec49c-8129-4fe9-a44e-f594a5f29c93,39895.7,82348.21,42452.51,38014.26,77909.96,Singapore,Kimberly Parker,Deutsche Bank,Standard Chartered,Cody Smith,2021-10-20,False
transfer,256d36a7-7923-458e-b47a-1f9ad7af1b53,13012.99,80574.64,67561.65,97734.56,110747.55,India,Janet Faulkner,Bank of America,Standard Chartered,Amber Gilbert,2021-09-09,False
transfer,a676dc48-c8ea-44d8-aa0e-88f445c751af,28989.11,53752.16,24763.05,37927.03,66916.14,UK,Zachary Flores,ICICI Bank,State Bank of India,Sarah Olson,2022-08-01,False
debit,7be19731-58c6-4166-be65-b78257c26cfd,9107.35,11513.04,2405.69,52790.18,61897.53,Germany,Edwin Berger,ICICI Bank,Bank of America,Sarah Wilson,2025-04-13,False
debit,5c9ff859-6a96-45f6-b76d-d139014a0497,26625.43,83072.14,56446.71,82564.61,109190.04,Canada,Laura Norman,HDFC Bank,Deutsche Bank,Jared Stanley,2024-02-01,False
debit,b8c4497f-00cf-4bb1-9002-0ef0f2d60040,11594.04,93890.29,82296.25,28032.57,39626.61,USA,Melissa Myers,Chase Bank,Bank of America,Walter Erickson,2022-11-11,False
transfer,48fd99bf-44af-40e8-81ae-90f6e29387b5,42343.21,109054.31,66711.1,64043.33,106386.54,Singapore,Trevor Holmes,ICICI Bank,DBS Bank,Susan Gordon,2022-06-18,False
debit,81ae6716-af33-4727-b31a-342fbb822a13,14949.58,17020.52,2070.94,87944.61,102894.19,Singapore,Bradley Morales,State Bank of India,Standard Chartered,Frank Santana,2020-07-09,False
debit,534079af-ac48-4003-b8bd-b259a748258a,29200.96,61241.52,32040.56,60252.82,89453.78,France,Ann Shepard,Bank of America,Deutsche Bank,Mrs. Tammy Myers,2022-01-17,False
cash_out,c2968bde-d996-463a-b7e1-640f19a7363e,8106.72,105511.67,97404.95,43523.64,51630.36,France,Amber Mccormick,Wells Fargo,Barclays,Scott Brown,2023-08-01,False
debit,4c72775d-35f5-4763-81ee-7e6b88fff148,49564.52,79566.87,30002.35,81062.44,130626.96,Singapore,Jessica Edwards,Deutsche Bank,Barclays,Taylor Griffin,2024-02-11,False
transfer,fd135ac5-e6cf-4f54-8a9d-c28c8d5af123,43579.73,50518.02,6938.29,24577.61,68157.34,France,Kevin Gordon,Wells Fargo,Bank of America,Kimberly Johnson,2023-10-30,False
transfer,6f32c404-172f-4c04-bdef-8dcf0b191009,32567.75,131957.78,99390.03,22295.43,54863.18,USA,Jonathan Griffin,Bank of America,Bank of America,James Wilcox,2024-06-14,False
debit,afea1cc5-822a-498a-bba6-e80581c81b86,1450.22,14708.68,13258.46,56341.99,57792.21,Singapore,Justin Stevens,Bank of America,Wells Fargo,Christina Anderson,2022-06-17,False
cash_out,e88f823d-c01d-4f41-b729-41aba68b9e0c,1581.28,54397.59,52816.31,34171.9,35753.18,Germany,Daisy Brown,ICICI Bank,Wells Fargo,Casey Dyer,2024-03-14,False
cash_out,56f6bd6f-ef70-4d73-97b6-146a6fbd013c,32817.33,116665.82,83848.49,27911.28,60728.61,France,Jeffrey Douglas,Deutsche Bank,HSBC,Joanna Hinton,2020-11-17,False
debit,98e6bdd5-4f90-4258-9939-8a9cb083e44c,5845.27,97249.3,91404.03,82685.84,88531.11,Canada,Stephanie Chapman,HDFC Bank,DBS Bank,Katherine Schultz,2023-11-11,False
cash_out,d768449e-f2e3-4262-8bec-dd565b958106,13196.54,23507.7,10311.16,93002.3,106198.84,Canada,Chad Mcguire,State Bank of India,UBS,Robin Morales,2024-04-26,False
debit,ab9379ff-c84d-459f-87d8-787dbb090f76,46859.26,115401.56,68542.3,71923.23,118782.49,Germany,David Pennington,State Bank of India,ICICI Bank,Mary Robles,2025-04-18,False
debit,e93e5a42-1868-4b62-a381-e577afacb081,49571.12,133749.34,84178.22,70035.03,119606.15,Germany,Ruben Randall,Standard Chartered,Kotak Mahindra Bank,Timothy Owen,2024-03-07,False
debit,1f376681-6dd8-4a73-afe7-899b8068684d,33308.93,85582.78,52273.85,39859.72,73168.65,UK,John Turner,DBS Bank,DBS Bank,Dawn Brooks,2020-07-05,False
debit,ebd1f7ea-4210-4188-a30c-9013fe6f96f9,3486.01,96510.8,93024.79,95016.82,98502.83,Germany,Dawn Johnson,Barclays,Bank of America,William Collins,2021-06-06,False
transfer,d5092e0c-1bcc-4d81-80b1-8a6c557b31e6,21757.54,58613.75,36856.21,44455.24,66212.78,USA,Teresa Newton,Bank of America,Barclays,David Harper,2024-05-06,False
transfer,d4be1299-20d1-4c2e-a23a-335d91a2da0b,38761.35,115061.61,76300.26,33623.47,72384.82,USA,Connie Baker,DBS Bank,Chase Bank,Jason Yoder DDS,2022-12-27,False
debit,75db62be-aaa5-4741-b429-4c755df72720,12315.8,98609.45,86293.65,29688.14,42003.94,Canada,Kimberly Walker,Barclays,Standard Chartered,Adriana Kerr,2021-10-27,False
cash_out,13435b24-d4b7-490e-b7a7-505538241973,46467.31,55184.07,8716.76,96389.14,142856.45,USA,Lisa Doyle,HSBC,Bank of America,Karl Holland,2021-06-03,False
transfer,f8996e82-16ba-4de9-8398-f428f18ce29e,11398.78,101728.91,90330.13,93298.62,104697.4,Canada,James Barber,Chase Bank,Deutsche Bank,Angela Shaw,2021-08-30,False
debit,d0c2d6ff-bc2d-4840-8fa7-9ed2daab1047,20032.73,35641.83,15609.1,28911.71,48944.44,USA,Darryl Leonard,Standard Chartered,Standard Chartered,Carol Levine,2021-09-04,False
debit,9ac67684-f77c-4dbd-9d36-df32d154ca35,12988.47,69398.95,56410.48,40917.31,53905.78,USA,Kelly Farrell,Kotak Mahindra Bank,UBS,Kevin Rowe,2022-04-28,False
debit,e220134e-7976-4bb0-97b2-abd8cc3effe9,15212.59,36136.99,20924.4,63824.86,79037.45,Singapore,Suzanne Beck,HDFC Bank,Kotak Mahindra Bank,Elizabeth Morrow,2020-08-07,False
transfer,cbaaff82-7f24-46fa-9b67-cbd04ed832d4,47733.75,140244.67,92510.92,72744.41,120478.16,India,Michelle Trevino,DBS Bank,Deutsche Bank,Christine Bowman,2022-01-07,False
cash_out,d9a30617-4af4-4f78-a8e7-e8babe156bac,16992.04,72474.17,55482.13,29114.09,46106.13,Canada,Clarence Richardson,DBS Bank,UBS,Michelle Kim,2021-01-30,False
debit,16125e60-892c-46de-9455-91f4df14377b,10214.69,58859.5,48644.81,50967.02,61181.71,Singapore,John Frazier,Deutsche Bank,HSBC,Ruben Anderson,2022-04-10,False
debit,171f06d8-dc15-4c0c-b398-34804ccb66e5,40905.01,123157.61,82252.6,41832.27,82737.28,Singapore,Anthony Hernandez,UBS,HDFC Bank,Nancy Gordon,2025-04-20,False
cash_out,5a0f9dc0-240b-454e-b06d-f64498033771,2834.47,77601.83,74767.36,65407.56,68242.03,India,Tara Scott,Bank of America,Deutsche Bank,Mikayla Ramirez,2022-10-07,False
debit,55423eb0-f0be-4d58-acf8-3653e9f3707c,39182.36,41778.75,2596.39,82072.26,121254.62,UK,Brittney Burton,Kotak Mahindra Bank,UBS,Allison Hensley,2021-11-08,False
cash_out,cdf5a57f-9c4e-4e7f-be44-b4c74955f0b0,39800.69,50343.87,10543.18,88075.54,127876.23,Canada,Shawn Vasquez,DBS Bank,Barclays,Jennifer Atkinson,2023-10-30,False
cash_out,3ce68c4e-7566-4bfe-a89b-73ce3210b523,26731.84,53253.95,26522.11,31603.71,58335.55,Singapore,Monica Walker,State Bank of India,Deutsche Bank,Melinda Long,2021-08-19,False
transfer,eb2c23c4-6161-4300-b64b-bd02c73204f6,34477.94,96756.26,62278.32,35751.55,70229.49,UK,Jonathan Reynolds,Wells Fargo,Standard Chartered,Pamela Rodriguez MD,2023-01-26,False
cash_out,ac7ae1c0-0580-4992-959f-27e6cdb00b1d,19100.96,25985.71,6884.75,29711.94,48812.9,Germany,John Stout,State Bank of India,Barclays,Mr. Brandon Stewart,2023-07-07,False
cash_out,ebc72a5f-ac30-4afd-98ae-e106c430e631,31145.42,76984.58,45839.16,46705.21,77850.63,India,David Daniels,Chase Bank,Standard Chartered,Andrew Castillo,2021-03-07,False
debit,20413701-dcbf-4aef-a6c9-96342668c8cf,21555.73,95684.65,74128.92,32579.53,54135.26,Germany,John Valdez,DBS Bank,DBS Bank,Rebecca Montgomery,2023-11-10,False
cash_out,461e9ba1-5757-435d-8834-75ecd99c2e30,28506.66,47649.71,19143.05,46661.35,75168.01,USA,Shirley Clark,State Bank of India,Chase Bank,Crystal Palmer,2024-03-22,False
transfer,73d43d3a-217b-46d1-aa7f-b8afdd8ecd23,33996.12,85256.19,51260.07,59272.22,93268.34,USA,Tanya White,HSBC,ICICI Bank,Sabrina Johnson,2023-08-28,False
cash_out,bc943ce8-088a-4a4e-9f6b-683d9abb15ae,15093.21,87090.12,71996.91,98020.81,113114.02,UK,Melanie Clements,Wells Fargo,HDFC Bank,Jennifer Rogers,2023-11-23,False
debit,5bd85310-a06e-45aa-8ac5-4e8826940b74,17331.02,82090.72,64759.7,71755.77,89086.79,Canada,Tanya Scott,Kotak Mahindra Bank,UBS,Barbara Atkins,2020-10-07,False
cash_out,9b301c38-d6a5-428f-ba15-30669088ee65,21895.64,58153.06,36257.42,36529.96,58425.6,India,Scott Copeland,Bank of America,UBS,Judith Hamilton,2024-08-01,False
transfer,23625303-2ae7-4b5d-9cd2-dfd44c745676,26943.64,48009.92,21066.28,70218.75,97162.39,UK,Sharon Silva,DBS Bank,UBS,Joanna Ramos,2023-12-28,False
cash_out,687589da-b462-490d-95c4-041fb3722a0e,47541.18,136832.99,89291.81,48930.29,96471.47,UK,Teresa Ford,Kotak Mahindra Bank,Bank of America,Maxwell Spencer,2022-07-21,False
cash_out,07015ccc-7285-4284-82b1-e684e2ab7d7c,29025.25,44443.55,15418.3,57395.82,86421.07,UK,Tony Miller,Wells Fargo,Kotak Mahindra Bank,Tyrone Hernandez,2021-11-19,False
cash_out,8d7bf389-5e3c-41b9-9e5e-202b0fe5cb38,12528.61,105781.0,93252.39,8837.27,21365.88,Germany,Brandi Hansen,ICICI Bank,HSBC,Norma Baker,2020-12-05,False
cash_out,1da34249-0e48-43a1-b0d4-4ff2bd4ba8c2,33062.46,35470.21,2407.75,71650.44,104712.9,USA,Ms. Diane West MD,DBS Bank,Barclays,Courtney Wright,2024-09-15,False
cash_out,a545a52f-fde5-4e65-9a57-82982622bdd7,19610.18,70524.17,50913.99,27503.24,47113.42,France,Susan Allen,HDFC Bank,Deutsche Bank,Andrea Obrien,2022-10-25,False
debit,14941a7d-3103-47b1-9b32-039d5fe4863b,44598.28,107299.87,62701.59,16340.91,60939.19,UK,Karen Guerrero,Deutsche Bank,HDFC Bank,Michael Garcia,2022-09-10,False
cash_out,65bd19cb-f808-4a09-995e-7421540381a1,41436.51,117563.35,76126.84,4515.74,45952.25,Canada,Sheryl Gonzalez,HDFC Bank,Barclays,Timothy Douglas,2024-09-21,False
debit,b85e8a84-b758-4f51-a8ff-b81cb98abe5f,46645.65,51607.41,4961.76,53339.89,99985.54,Germany,Reginald Cohen,ICICI Bank,Wells Fargo,Anne Huynh MD,2022-12-07,False
cash_out,b7d43146-3703-49d5-bbd3-648181883da9,32411.91,80864.65,48452.74,68416.51,100828.42,Canada,Tina Peters,Standard Chartered,Chase Bank,Brianna Howard,2021-04-16,False
debit,bf5d7d34-26a0-40b4-bc5b-e3524c1dceed,21841.81,71381.99,49540.18,77302.5,99144.31,USA,Jerome Drake,Deutsche Bank,Chase Bank,Sandra Lewis,2020-06-30,False
transfer,4b83b570-8bb4-495a-9976-b2bacc27f386,10358.42,93233.29,82874.87,87863.72,98222.14,Canada,Rodney Johnson,Barclays,DBS Bank,Brandy Myers,2021-10-14,False
transfer,58278283-c189-49f2-b8d5-d87262b1d31f,14245.59,91221.53,76975.94,8713.7,22959.29,Singapore,Andrew Miller,State Bank of India,Chase Bank,Tammy Walker,2024-10-17,False
transfer,f33df2c3-dfe0-4f14-b767-514316994191,26776.84,116602.97,89826.13,44952.34,71729.18,Germany,Daniel Stanton DDS,Standard Chartered,HSBC,Karen Wade,2021-10-24,False
debit,a9b81065-5e79-4286-9f6c-d03e9721b000,35305.53,65852.47,30546.94,71593.42,106898.95,UK,Samantha Bates,Chase Bank,HDFC Bank,Jonathan Phillips,2022-03-20,False
transfer,36df2239-06bc-4d71-a3ba-a2caa90ae1cd,19229.34,84539.76,65310.42,97424.74,116654.08,Germany,Adrian Dawson,UBS,Kotak Mahindra Bank,Jeffrey Travis,2022-09-14,False
cash_out,b621369a-18b5-4e01-9821-3d1452a5b268,32071.96,32983.54,911.58,26742.02,58813.98,UK,Brandon Russell,Barclays,Wells Fargo,Jonathan Oneal,2021-08-16,False
transfer,823964d5-4863-48e3-ab75-c7f5e9bcb831,21468.57,48513.36,27044.79,88020.62,109489.19,Singapore,Rebecca Wilson,HSBC,ICICI Bank,Nicole Howell,2022-03-31,False
transfer,18cf2ae8-4dee-4803-a540-c0ae28651096,2702.78,78001.0,75298.22,53315.17,56017.95,Germany,Jennifer Ferguson,DBS Bank,HDFC Bank,Andre Welch,2021-04-30,False
transfer,41b80fd0-d089-40bd-a7d6-6496a3977b64,44568.96,98648.38,54079.42,0.66,44569.62,Germany,Michael Wright,Deutsche Bank,DBS Bank,Dwayne Young,2023-01-10,False
cash_out,bdb708b4-0ae5-4ba2-8ed2-eca4c269cd21,44717.28,116971.65,72254.37,36382.75,81100.03,USA,Robin Wright,State Bank of India,HSBC,Robert Delgado,2024-11-08,False
cash_out,183d61a2-dc6e-4076-b9e7-e6f536a11d05,43541.63,120338.91,76797.28,87527.27,131068.9,India,Carmen Rose,Bank of America,ICICI Bank,Karen Malone,2020-12-15,False
transfer,232bdf0d-48b1-4c2a-8963-e074ef9473e1,11445.15,67797.29,56352.14,44001.85,55447.0,Germany,Madeline Fisher,Bank of America,HSBC,Jennifer Mcclure,2021-11-20,False
debit,da34d7bd-0d56-4d4f-a055-3ead2fb4319d,22917.62,39983.29,17065.67,50419.84,73337.46,India,Clayton Jackson,Chase Bank,Chase Bank,Robert Garrison,2024-07-29,False
cash_out,385582a8-2b02-458c-9cc3-95b0b20bfceb,41819.17,107723.63,65904.46,47075.91,88895.08,USA,Savannah Saunders,Bank of America,Bank of America,Ernest Scott,2023-08-12,False
